cluster,timestamp,hour,trip_count,total_fare
0.0,2024-06-05 21:00:00,21,150,16994.529999999995
0.0,2024-06-05 22:00:00,22,158,17865.54
0.0,2024-06-05 23:00:00,23,112,11411.25
0.0,2024-06-06 00:00:00,0,138,13779.030000000006
0.0,2024-06-06 01:00:00,1,108,13030.770000000002
0.0,2024-06-06 02:00:00,2,69,9317.819999999998
0.0,2024-06-06 03:00:00,3,4,457.73
0.0,2024-06-06 04:00:00,4,1,39.31
0.0,2024-06-06 06:00:00,6,1,176.67000000000002
0.0,2024-06-06 07:00:00,7,26,3026.2200000000003
0.0,2024-06-06 08:00:00,8,60,8078.040000000001
0.0,2024-06-06 09:00:00,9,107,15643.649999999998
0.0,2024-06-06 10:00:00,10,142,18212.02
0.0,2024-06-06 11:00:00,11,127,17484.890000000003
0.0,2024-06-06 12:00:00,12,84,11111.529999999997
0.0,2024-06-06 13:00:00,13,95,11930.29
0.0,2024-06-06 14:00:00,14,135,18958.14000000001
0.0,2024-06-06 15:00:00,15,125,17673.329999999998
0.0,2024-06-06 16:00:00,16,114,16014.35999999999
0.0,2024-06-06 17:00:00,17,143,20680.229999999996
0.0,2024-06-06 18:00:00,18,165,22273.96
0.0,2024-06-06 19:00:00,19,174,21963.80999999999
0.0,2024-06-06 20:00:00,20,141,16157.750000000007
0.0,2024-06-06 21:00:00,21,131,13927.429999999991
0.0,2024-06-06 22:00:00,22,162,17508.269999999993
0.0,2024-06-06 23:00:00,23,202,23144.359999999997
0.0,2024-06-07 00:00:00,0,145,15582.550000000001
0.0,2024-06-07 01:00:00,1,54,4502.280000000001
0.0,2024-06-07 02:00:00,2,10,887.98
0.0,2024-06-07 03:00:00,3,1,88.03999999999999
0.0,2024-06-07 04:00:00,4,2,120.28
0.0,2024-06-07 05:00:00,5,3,164.86
0.0,2024-06-07 06:00:00,6,2,151.62
0.0,2024-06-07 07:00:00,7,23,2634.16
0.0,2024-06-07 08:00:00,8,71,8048.7999999999965
0.0,2024-06-07 09:00:00,9,112,12034.81
0.0,2024-06-07 10:00:00,10,149,17858.99
0.0,2024-06-07 11:00:00,11,114,13360.750000000002
0.0,2024-06-07 12:00:00,12,124,16194.859999999995
0.0,2024-06-07 13:00:00,13,95,12515.129999999997
0.0,2024-06-07 14:00:00,14,134,18419.609999999997
0.0,2024-06-07 15:00:00,15,133,20507.769999999997
0.0,2024-06-07 16:00:00,16,164,24707.510000000006
0.0,2024-06-07 17:00:00,17,122,15011.580000000002
0.0,2024-06-07 18:00:00,18,137,15916.870000000006
0.0,2024-06-07 19:00:00,19,142,15770.710000000003
0.0,2024-06-07 20:00:00,20,148,16753.24
0.0,2024-06-07 21:00:00,21,168,18276.780000000002
0.0,2024-06-07 22:00:00,22,108,11800.620000000004
0.0,2024-06-07 23:00:00,23,136,15714.440000000002
0.0,2024-06-08 00:00:00,0,65,7194.73
0.0,2024-06-08 01:00:00,1,11,1214.9399999999998
0.0,2024-06-08 04:00:00,4,1,27.78
0.0,2024-06-08 06:00:00,6,1,41.12
0.0,2024-06-08 07:00:00,7,5,379.05
0.0,2024-06-08 08:00:00,8,41,3131.49
0.0,2024-06-08 09:00:00,9,65,6256.699999999999
0.0,2024-06-08 10:00:00,10,91,9055.02
0.0,2024-06-08 11:00:00,11,73,7833.769999999997
0.0,2024-06-08 12:00:00,12,82,9357.869999999999
0.0,2024-06-08 13:00:00,13,95,9902.93
0.0,2024-06-08 14:00:00,14,78,8714.009999999998
0.0,2024-06-08 15:00:00,15,69,8082.9900000000025
0.0,2024-06-08 16:00:00,16,97,11285.059999999998
0.0,2024-06-08 17:00:00,17,92,10333.53
0.0,2024-06-08 18:00:00,18,92,9514.45
0.0,2024-06-08 19:00:00,19,58,6724.220000000001
0.0,2024-06-08 20:00:00,20,63,5806.32
0.0,2024-06-08 21:00:00,21,58,5625.089999999999
0.0,2024-06-08 22:00:00,22,58,5984.1799999999985
0.0,2024-06-08 23:00:00,23,115,13827.48
0.0,2024-06-09 00:00:00,0,38,4330.0
0.0,2024-06-09 01:00:00,1,3,240.74
0.0,2024-06-09 03:00:00,3,1,29.650000000000002
0.0,2024-06-09 04:00:00,4,1,69.50999999999999
0.0,2024-06-09 05:00:00,5,1,75.32
0.0,2024-06-09 06:00:00,6,5,294.33000000000004
0.0,2024-06-09 07:00:00,7,5,258.61
0.0,2024-06-09 08:00:00,8,41,3509.0699999999997
0.0,2024-06-09 09:00:00,9,77,6649.759999999997
0.0,2024-06-09 10:00:00,10,104,9893.729999999996
0.0,2024-06-09 11:00:00,11,105,10851.819999999994
0.0,2024-06-09 12:00:00,12,141,13922.85
0.0,2024-06-09 13:00:00,13,169,17535.130000000005
0.0,2024-06-09 14:00:00,14,173,18494.550000000003
0.0,2024-06-09 15:00:00,15,160,17701.02000000002
0.0,2024-06-09 16:00:00,16,169,21010.900000000005
0.0,2024-06-09 17:00:00,17,158,17804.300000000007
0.0,2024-06-09 18:00:00,18,151,15550.600000000004
0.0,2024-06-09 19:00:00,19,165,16747.809999999998
0.0,2024-06-09 20:00:00,20,196,21359.190000000002
0.0,2024-06-09 21:00:00,21,196,22338.640000000003
0.0,2024-06-09 22:00:00,22,133,15088.360000000002
0.0,2024-06-09 23:00:00,23,185,21762.960000000003
0.0,2024-06-10 00:00:00,0,83,7166.63
0.0,2024-06-10 01:00:00,1,2,126.18
0.0,2024-06-10 04:00:00,4,3,128.4
0.0,2024-06-10 05:00:00,5,3,486.7600000000001
0.0,2024-06-10 06:00:00,6,2,184.57999999999998
0.0,2024-06-10 07:00:00,7,59,7121.84
0.0,2024-06-10 08:00:00,8,125,15415.830000000002
0.0,2024-06-10 09:00:00,9,119,14635.170000000002
0.0,2024-06-10 10:00:00,10,184,22566.689999999995
0.0,2024-06-10 11:00:00,11,120,15339.10999999999
0.0,2024-06-10 12:00:00,12,153,18468.740000000005
0.0,2024-06-10 13:00:00,13,122,14933.010000000002
0.0,2024-06-10 14:00:00,14,177,24111.81999999999
0.0,2024-06-10 15:00:00,15,133,18012.219999999994
0.0,2024-06-10 16:00:00,16,148,19843.710000000003
0.0,2024-06-10 17:00:00,17,111,13256.939999999999
0.0,2024-06-10 18:00:00,18,167,18844.839999999993
0.0,2024-06-10 19:00:00,19,178,19312.020000000004
0.0,2024-06-10 20:00:00,20,169,16307.660000000005
0.0,2024-06-10 21:00:00,21,185,19099.809999999998
0.0,2024-06-10 22:00:00,22,141,13048.810000000001
0.0,2024-06-10 23:00:00,23,167,16791.170000000006
0.0,2024-06-11 00:00:00,0,59,4773.04
0.0,2024-06-11 04:00:00,4,1,15.280000000000001
0.0,2024-06-11 05:00:00,5,1,19.82
0.0,2024-06-11 06:00:00,6,3,145.89999999999998
0.0,2024-06-11 07:00:00,7,41,5142.6900000000005
0.0,2024-06-11 08:00:00,8,93,12232.709999999994
0.0,2024-06-11 09:00:00,9,92,11447.369999999995
0.0,2024-06-11 10:00:00,10,133,17875.179999999997
0.0,2024-06-11 11:00:00,11,111,14089.079999999998
0.0,2024-06-11 12:00:00,12,119,15182.890000000001
0.0,2024-06-11 13:00:00,13,93,11076.720000000001
0.0,2024-06-11 14:00:00,14,120,16919.540000000005
0.0,2024-06-11 15:00:00,15,116,15365.959999999995
0.0,2024-06-11 16:00:00,16,116,15719.659999999998
0.0,2024-06-11 17:00:00,17,88,12131.980000000003
0.0,2024-06-11 18:00:00,18,169,19252.140000000003
0.0,2024-06-11 19:00:00,19,118,14013.17
0.0,2024-06-11 20:00:00,20,145,15992.159999999994
0.0,2024-06-11 21:00:00,21,144,14808.620000000004
0.0,2024-06-11 22:00:00,22,109,10670.249999999996
0.0,2024-06-11 23:00:00,23,132,11871.110000000002
0.0,2024-06-12 00:00:00,0,97,8990.910000000002
0.0,2024-06-12 01:00:00,1,10,579.37
0.0,2024-06-12 04:00:00,4,2,105.55000000000001
0.0,2024-06-12 05:00:00,5,3,164.68
0.0,2024-06-12 06:00:00,6,3,258.54999999999995
0.0,2024-06-12 07:00:00,7,37,4210.990000000001
0.0,2024-06-12 08:00:00,8,61,7561.030000000002
0.0,2024-06-12 09:00:00,9,98,12274.770000000002
0.0,2024-06-12 10:00:00,10,99,11653.039999999997
0.0,2024-06-12 11:00:00,11,115,13622.390000000005
0.0,2024-06-12 12:00:00,12,113,13242.619999999994
0.0,2024-06-12 13:00:00,13,128,15618.489999999998
0.0,2024-06-12 14:00:00,14,101,13695.999999999996
