LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
223,1,-73.90540773409829,40.777426920532754,33,2679,25.3948167539267,14.531849912739967
77,22,-73.89536411750332,40.66655893903528,59,2679,22.712780487804878,18.015
149,9,-73.94813559494116,40.604913595563765,68,2678,20.07338199513382,14.533536090835362
77,19,-73.89536411750332,40.66655893903528,59,2677,20.390841346153845,17.053125
114,10,-73.99738026020044,40.728340391372306,2,2676,33.389061662198394,19.079892761394103
250,17,-73.84864070062378,40.832101659632144,40,2675,22.730444444444444,19.367962962962963
196,11,-73.86333855806278,40.72615563957924,63,2675,24.728175355450233,18.029265402843603
196,8,-73.86333855806278,40.72615563957924,63,2674,27.245926829268292,20.19869918699187
40,21,-73.99595619089148,40.6791990140971,3,2674,30.81185750636132,19.0626802374894
218,7,-73.77303565610488,40.672089706767316,72,2669,23.593178654292345,17.397099767981437
32,15,-73.86490099876723,40.86400220602362,31,2668,21.762997601918464,17.872022382094325
258,21,-73.85576675985416,40.688721356981304,44,2668,23.732091954022987,17.240613026819926
55,13,-73.98794343407192,40.576960753637756,61,2668,30.49346055979644,22.08218829516539
210,20,-73.94050716694059,40.592023464364296,56,2667,21.703497536945815,15.342487684729065
92,6,-73.82885869884265,40.761102189834375,34,2666,26.109794344473006,16.16769494430163
258,6,-73.85576675985416,40.688721356981304,44,2666,28.866368286445013,19.48205456095482
127,12,-73.91930823586193,40.8660750007278,31,2665,28.608984771573606,19.164593908629442
146,23,-73.93482888929137,40.75424252050029,2,2665,28.675949367088606,19.17282700421941
4,17,-73.97696825691769,40.7237521415848,2,2665,35.54134615384615,25.58342490842491
182,17,-73.85798694048574,40.83774866435355,40,2662,23.730127551020406,20.627933673469386
259,22,-73.85221545370123,40.89793202529466,48,2662,22.16560913705584,14.89826565143824
181,5,-73.98141374048748,40.670374325917244,3,2662,48.790895140664965,23.330434782608698
106,22,-73.99064727363113,40.67351279686076,3,2662,29.490744680851066,19.048625886524825
97,6,-73.974882086189,40.690786794210936,3,2661,35.9273786407767,20.550404530744338
85,11,-73.95162318261015,40.64611634689509,11,2660,24.721882951653946,20.249533502968617
56,19,-73.85884524944,40.741406774829755,50,2659,24.661236559139784,18.878763440860215
77,10,-73.89536411750332,40.66655893903528,59,2657,22.070874439461885,17.661733931240658
102,18,-73.87573576709775,40.70354561076291,67,2657,22.827447916666667,18.23472222222222
149,15,-73.94813559494116,40.604913595563765,68,2655,22.389948320413435,18.12782084409991
191,11,-73.74153176997541,40.7154545153052,47,2652,23.823094059405943,15.845503300330032
127,10,-73.91930823586193,40.8660750007278,31,2652,27.49360655737705,18.232006245121
119,13,-73.92615723620786,40.83782699169886,16,2650,23.97939110070258,17.97943013270882
56,11,-73.85884524944,40.741406774829755,50,2650,25.676407035175878,19.185552763819096
258,22,-73.85576675985416,40.688721356981304,44,2650,23.262252475247525,16.492326732673266
238,0,-73.97304890061592,40.791704934427074,2,2650,30.513384615384613,18.172435897435896
213,0,-73.85813498781432,40.817858557708156,32,2648,21.204245283018867,14.383805031446542
20,22,-73.88586748106964,40.857779675441584,31,2647,24.116543535620053,15.50461741424802
136,16,-73.90591118270508,40.8652641915249,31,2647,21.443860103626943,18.610405872193436
43,15,-73.96555356545913,40.78247809974788,2,2647,42.12024813895781,24.851778329197682
195,19,-74.00917849113297,40.67554886228086,3,2647,34.29166233766234,22.3708658008658
182,14,-73.85798694048574,40.83774866435355,40,2647,24.570291005291004,19.022883597883595
182,10,-73.85798694048574,40.83774866435355,40,2645,23.818661616161616,18.09692760942761
40,23,-73.99595619089148,40.6791990140971,3,2639,30.873259803921567,18.642851307189545
259,6,-73.85221545370123,40.89793202529466,48,2639,28.45825857519789,18.006332453825856
66,8,-73.98570161582282,40.70225893882249,3,2639,38.90041775456919,20.459965187119234
206,17,-74.10231250352763,40.63897220516651,76,2639,21.440467289719628,15.943964174454829
81,16,-73.836643344083,40.8809354114894,38,2638,21.10885286783042,16.639484621778887
